0,1,2,3,4,5,6,7,8,9,10,,
Місяць,Дата,#wd,"День
тижня",Мінейні Святі,Формулювання для відпусту,"Окремий
святковий
відпуст?","Фаза
свята","Текст 
для 
заміни","Формулю-
вання 
свята","Текст відпусту, Літургія","Текст відпусту, ВУ",
Вересень,01.09,5,пт,"🕂 Начало Індикта, тобто Нового року. Пам'ять прп. Симеона Стовпника і матері його. Собор Пресвятої Богородиці, що в Міясинах.","прп. Симеона Стовпника і матері його,",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, якої собору в Міясинах сьогодні пам'ять творимо,","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святого, якого є храм, прп. Симеона Стовпника і матері його, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого, якого є храм, прп. Симеона Стовпника і матері його, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,02.09,6,сб,"Св. мч. Маманта. Прп. Йоана Посника, патр. Царгородського.","св. мч. Маманта, прп. Йоана Посника, патр. Царгородського,",ні,,,,"Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Йоана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святих і праведних богоотців Йоакима й Анни, святого, якого є храм, св. мч. Маманта, прп. Йоана Посника, патр. Царгородського, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Йоана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святих і праведних богоотців Йоакима й Анни, святого, якого є храм, св. мч. Маманта, прп. Йоана Посника, патр. Царгородського, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,03.09,7,нд,"Неділя 14-та по Зісланні Святого Духа. Св. свщмч. Антима, єп. Нікомидійського. Прп. Теоктиста, спосника великого Євтимія.","св. свщмч. Антима, єп. Нікомидійського, прп. Теоктиста, спосника великого Євтимія,",ні,,,,"Священик: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святого, якого є храм, св. свщмч. Антима, єп. Нікомидійського, прп. Теоктиста, спосника великого Євтимія, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого, якого є храм, св. свщмч. Антима, єп. Нікомидійського, прп. Теоктиста, спосника великого Євтимія, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,04.09,1,пн,"Св. свщмч. Вавили, єп. Антіохійського. Св. прор. й боговидця Мойсея.","св. свщмч. Вавили, єп. Антіохійського, св. прор. й боговидця Мойсея,",ні,,,,"Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святого, якого є храм, св. свщмч. Вавили, єп. Антіохійського, св. прор. й боговидця Мойсея, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, святого, якого є храм, св. свщмч. Вавили, єп. Антіохійського, св. прор. й боговидця Мойсея, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,05.09,2,вв,"🕃 Св. прор. Захарії, отця Йоана Предтечі.","св. прор. Захарії, отця Йоана Предтечі,",ні,,,,"Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святого, якого є храм, св. прор. Захарії, отця Йоана Предтечі, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого, якого є храм, св. прор. Захарії, отця Йоана Предтечі, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,06.09,3,ср,"🕃 Спогад про чудо, яке було в Колосах, що в Хонах, від архистратига Михаїла.","заступництвом святого архистратига Михаїла, про чудо від якого в Колосах сьогодні пам'ять звершуємо,",ні,,,,"Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святого, якого є храм, заступництвом святого архистратига Михаїла, про чудо від якого в Колосах сьогодні пам'ять звершуємо, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого, якого є храм, заступництвом святого архистратига Михаїла, про чудо від якого в Колосах сьогодні пам'ять звершуємо, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,07.09,4,чт,🕃 Передсвяття Різдва Богородиці. Св. мчч. Созонта.,св. мчч. Созонта,ні,,,,"Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святого, якого є храм, св. мчч. Созонта і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святого, якого є храм, св. мчч. Созонта і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,08.09,5,пт,🕀 РІЗДВО ПРЕСВЯТОЇ ВЛАДИЧИЦІ НАШОЇ БОГОРОДИЦІ І ПРИСНОДІВИ МАРІЇ.,,так,свято,,,"Священик: Христос, істинний Бог наш, молитвами пречистої своєї Матері, якої Різдва сьогодні торжественний празник світло звершуємо, святих, славних і всехвальних апостолів, святого отця нашого Йоана Золотоустого, архиєпископа Константинополя, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш, молитвами пречистої своєї Матері, якої Різдва сьогодні торжественний празник світло звершуємо, святих, славних і всехвальних апостолів, святого отця нашого Йоана Золотоустого, архиєпископа Константинополя, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Вересень,09.09,6,сб,Субота перед Воздвиженням. 🕃 Свв. і праведних богоотців Йоакима й Анни. Св. мчч. Северіяна.,св. мчч. Северіяна,так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, якої Різдво торжественний празник звершуємо,","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Йоана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, святих і праведних богоотців Йоакима й Анни, святого, якого є храм, св. мчч. Северіяна і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священик: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Йоана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святих і праведних богоотців Йоакима й Анни, святого, якого є храм, св. мчч. Северіяна і всіх святих - помилує і спасе нас як благий і людинолюбний.",
