Читання,Книга,Книга_код,# зач.,abc,Присвята,Примітка,Дата (мінея),Період,Тиждень від,"Тиждень
до ВП",День тижня,Обч. день тижня,Обч. період,Обч. тиждень,empty?
"Ів. 1 зач.; 1, 1-17.",Ів.,iv,1,,В святу й велику неділю Пасхи на Літургії,,,lent,7,,7,,pascha,,FALSE
"Ів. 2 зач.; 1, 18-28.",Ів.,iv,2,,Понеділок світлого тижня,,,pascha,1,,1,1,,,FALSE
"Ів. 3 зач.; 1, 29-34.",Ів.,iv,3,,Другого дня Богоявлення на Літургії,,*,,,,,,,,FALSE
"Ів. 4 зач.; 1, 35-51.",Ів.,iv,4,,Середа світлого тижня. Це і апостолові Андрієві,,*,pascha,1,,3,3,,,FALSE
"Ів. 5 зач.; 1, 43-51.",Ів.,iv,5,,Неділя 1-ша посту. Це ж і святому апостолові Филипові,,*,lent,1,,7,7,lent,1,FALSE
"Ів. 6 зач.; 2, 1-11.",Ів.,iv,6,,Понеділок 2-го тижня,,,pascha,2,,1,1,,2,FALSE
"Ів. 7 зач.; 2, 12-22.",Ів.,iv,7,,П'ятниця світлого тижня,,,pascha,1,,5,5,,,FALSE
"Ів. 8 зач.; 3, 1-15.",Ів.,iv,8,,Четвер світлого тижня,,,pascha,1,,4,4,,,FALSE
"Ів. 9 зач.; 3, 13-17.",Ів.,iv,9,,Неділя перед Воздвиженням,,*,,,,7,7,,,FALSE
"Ів. 10 зач.; 3, 16-21.",Ів.,iv,10,,Вівторок 2-го тижня,,,pascha,2,,2,2,,2,FALSE
"Ів. 11 зач.; 3, 22-33.",Ів.,iv,11,,Субота світлого тижня,,,pascha,1,,6,6,,,FALSE
"Ів. 12 зач.; 4, 5-42.",Ів.,iv,12,,"Неділя 5-та після Пасхи, про самарянку",,,pascha,5,,7,7,pascha,5,FALSE
"Ів. 13 зач.; 4, 46-54.",Ів.,iv,13,,Понеділок 3-го тижня,,,pascha,3,,1,1,,3,FALSE
"Ів. 14 зач.; 5, 1-15.",Ів.,iv,14,a,"Неділя 4-та, про розслабленого",,,pascha,4,,7,7,,4,FALSE
"Ів. 14 зач.; 5, 1-4.",Ів.,iv,14,b,На освячення води,,*,,,,,,,,FALSE
"Ів. 15 зач.; 5, 17-24.",Ів.,iv,15,,Середа 2-го тижня. Це ж і мертвим в понеділок,,*,pascha,2,,3,3,,2,FALSE
"Ів. 16 зач.; 5, 24-30.",Ів.,iv,16,,Четвер 2-го тижня. Це ж і мертвим у вівторок і в суботу.,,*,pascha,2,,4,4,,2,FALSE
"Ів. 17 зач.; 5, 30 – 6, 2.",Ів.,iv,17,,П'ятниця 2-го тижня,,,pascha,2,,5,5,,2,FALSE
"Ів. 18 зач.; 6, 5-14.",Ів.,iv,18,,Середа 5-го тижня,,,pascha,5,,3,3,,5,FALSE
"Ів. 19 зач.; 6, 14-27.",Ів.,iv,19,,Субота 2-га після Пасхи,,,pascha,2,,6,6,pascha,2,FALSE
"Ів. 20 зач.; 6, 27-33.",Ів.,iv,20,,Вівторок 3-го тижня,,,pascha,3,,2,2,,3,FALSE
"Ів. 21 зач.; 6, 35-39.",Ів.,iv,21,,Середа 3-го тижня. Це і мертвим у середу,,*,pascha,3,,3,3,,3,FALSE
"Ів. 22 зач.; 6, 40-44.",Ів.,iv,22,,Четвер 3-го тижня,,,pascha,3,,4,4,,3,FALSE
"Ів. 23 зач.; 6, 48-54.",Ів.,iv,23,,П'ятниця 3-го тижня,,,pascha,3,,5,5,,3,FALSE
"Ів. 24 зач.; 6, 56-69.",Ів.,iv,24,,Понеділок 4-го тижня,,,pascha,4,,1,1,,4,FALSE
"Ів. 25 зач.; 7, 1-13.",Ів.,iv,25,,Вівторок 4-го тижня,,,pascha,4,,2,2,,4,FALSE
"Ів. 26 зач.; 7, 14-30.",Ів.,iv,26,,Середа 4-го тижня,,,pascha,4,,3,3,,4,FALSE
"Ів. 27 зач.; 7, 37-52; 8, 12.",Ів.,iv,27,,"Неділя 8-ма, П'ятидесятниця",,liturgy,pascha,7,,7,7,,8,FALSE
"Ів. 28 зач.; 8, 3-11.",Ів.,iv,28,,Святим жінкам,,*,pascha,,,,,,,FALSE
"Ів. 29 зач.; 8, 12-20.",Ів.,iv,29,,Четвер 4-го тижня,,,pascha,4,,4,4,,4,FALSE
"Ів. 30 зач.; 8, 21-30.",Ів.,iv,30,,П'ятниця 4-го тижня. Це ж і в суботу після Воздвиження,,,pascha,4,,5,5,,4,FALSE
"Ів. 31 зач.; 8, 31-42.",Ів.,iv,31,,Субота 4-го тижня,,,pascha,4,,6,6,,4,FALSE
"Ів. 32 зач.; 8, 42-51.",Ів.,iv,32,,Понеділок 5-го тижня,,,pascha,5,,1,1,,5,FALSE
"Ів. 33 зач.; 8, 51-59.",Ів.,iv,33,,Вівторок 5-го тижня,,,pascha,5,,2,2,,5,FALSE
"Ів. 34 зач.; 9, 1-38.",Ів.,iv,34,,"Неділя 6-та, про сліпородженого",,,pascha,5,,7,7,,6,FALSE
"Ів. 35 зач.; 9, 39 – 10, 9.",Ів.,iv,35,a,Четвер 5-го тижня,,,pascha,5,,4,4,,5,FALSE
"Ів. 35 зач.; 10, 1-9.",Ів.,iv,35,b,Святителям на Утрені,,*,,,,,,,,FALSE
